title,type,description,effect,pic,header
Gary,Team Member,You have hired a GPGPU developer.,"Keep this card to use later. Double a dice roll (but only if that roll is 4, as GPUs cannot be applied to every problem equally).  Discard after use.",gary.png,ucl-azul.png
Jens,Team Member,"Jens is magical. He does a lot of work and can fix any problem, except for The Fortran Curse.","Move forward to square 50. Then, discard immediately.",Jens.jpg,ucl-azul.png
Mayeul,Team Member,"The First. RSE extraordinaire. What’s up with CMake though?
","Choose any card from the discard pile and keep it. Then, discard immediately.",mayeul.png,ucl-azul.png
Research Computing Applications and Support,Team Member,They help you optimise all your software and everything runs so much faster.,Keep this card. Your 6 rolls are now 12's.,rc.png,ucl-azul.png
Research Data,Team Member,Loads of new storage space configured for the team!,Keep this card. There is no limit to the number of cards in your hand.,rd.png,ucl-azul.png
Facilitation,Team Member,They have just found us a few cool new projects to work on!,"Draw 3 project cards from the discard pile. Then, discard this card.",uclrits.png,ucl-azul.png
Research IT Applications,Team Member,Building actually useful applications is not trivial!,"Keep this card. You can choose to discard a project you draw. If you do, discard this.",uclrits.png,ucl-azul.png
Tom Dowrick,Team Member,"Tom wants to improve researchers' working practices, but when will he finally get his fellowship?","Keep this card. If you have the EIT project, you may reroll one die per turn.",tom.jpeg,ucl-azul.png
Research Computing Infrastructure,Team Member,Technical wizards keep computers running.,Keep this card. It allows you to avoid hardware failure events.,uclrits.png,ucl-azul.png
Budget Surplus,Event,"You have a budget surplus. Activate ""purchase empty server full of gold bars"" operational procedure.",Keep this card. It neutralises Loss of crates.,uclrits.png,ucl-azul.png
ORACC,Project,You just won Oracc! Prepare for Sumerian fun and Jython. A lot of Jython.,Keep this card. No other events can make you lose this card.,oracc.png,ucl-purple.png
Zacros,Project,You just won Zacros! Modern Fortran can be so much fun. Really!,"Keep this card. If you get the Fortran curse, it will be amplified, and you'll have to lose 2 rounds instead of 1.",zacros.png,ucl-purple.png
Critical Care,Project,You just won Critical Care! Explore the rabbit hole of hospital data.,"Keep this card. Counts as 2 projects for ""Funding confirmed!""",cc.png,ucl-purple.png
CloudLabs,Project,"CloudLabs just got funded! Azure, ITCPD and ISD Architects, what could go wrong?",Keep this card.,cloudlabs.png,ucl-purple.png
Research Software Dashboard,Project,Dashboard just got funded! Software might one day be as recognised as papers. Maybe.,Keep this card.,dashboard1.png,ucl-purple.png
ShipViz,Project,"You just won ShipViz! Ships and maps, Raquel will love this.",Keep this card. Raquel's card has no effect.,shipviz.png,ucl-purple.png
BICO,Project,You just won BICO! Get ready for clear skies and MPI madness.,Keep this card.,bico.jpg,ucl-purple.png
HHPredY,Project,You just won HHPredY! And all of the yeast's secrets shall be revealled.,"Keep this card. Lose ""Budget Surplus"" card if you have it or if you get it in the future.",hhpredy.png,ucl-purple.png
FASt-Mal,Project,You just won FASt-Mal! Will AI be better at diagnosing Malaria than clinicians?,Keep this card. Truce with CS! The Cold War has no effect.,fastmal.png,ucl-purple.png
HemeLB,Project,"You just won HemeLB! You're modelling vascular bloodflow, but what about the edge cases?",Keep this card.,hemelb.png,ucl-purple.png
EPPI Reviewer,Project,"You just won EPPI Reviewer! Hold on, what's CSLA again? You just lost EPPI Reviewer.","Keep for 2 turns. Then, discard this card.",eppi.png,ucl-purple.png
Eyeballs,Project,You just won a project with Moorfields Eye Hospital!,Keep this card.,moorfields.png,ucl-purple.png
Inform,Project,You just won (another!) project with UCLH.,"Keep this card. Counts as 2 projects for ""Funding confirmed!""",inform.jpg,ucl-purple.png
Oceanic Exchanges,Project,You just won Oceanic Exchanges! Now to just get the data...,"Keep this card. If you have Research Data, roll a die and move forward that many squares.",ocex.png,ucl-purple.png
EIT,Project,You just won EIT! Will the team be converted to RSE ways?,Keep this card.,eit.png,ucl-purple.png
AbySIS,Project,You just won AbySIS! Analyse all the antibodies!,Keep this card.,abysis.png,ucl-purple.png
GloTraM,Project,You just won GloTraM! The spectre of Matlab is back to haunt you.,Keep this card.,glotram.png,ucl-purple.png
DCProgs,Project,You just won DCProgs! So many technologies. I'm sure it'll go smoothly.,Keep this card.,dcprogs.png,ucl-purple.png
"BEM++. I mean, Science Gateway",Project,You just won... err... some project with... someone?,Keep this card... maybe?,bem.png,ucl-purple.png
Lyrical Kombat,Project,You just won Lyrical Kombat! Let's help children learn through music (before the project changes name again).,"Keep this card. Treat 1s as 6s, but only if you can complete a rhyme started by another player.",youtube.png,ucl-purple.png
Web Lab,Project,You just won Web Lab! Jonathan gets distracted being a PI.,Keep this card. Jonathan's ability has no effect.,weblab.png,ucl-purple.png
